total population,,,obesity prevelence,,,obesity population,,,average income ,,
2000,2010,2014,2000,2010,2014,2000,2010,2014,2000,2010,2014
4447100,4779735,4833996,13.2,15.8,16.3,587017,755198,787941,35424,40933,42278
626932,710231,737259,18.8,21.2,19.1,117863,150569,140816,52847,57848,67629
5130632,6329013,6634997,11.3,15,13.3,579761,949352,882455,39783,46896,49254
2673400,2915921,2958765,11,14.8,14.4,294074,431556,426062,29697,38587,44922
33871648,37253956,38431393,16.4,18.4,16.6,5554950,6854728,6379611,46816,54283,60487
4301261,5029196,5272086,8.4,9.6,8.5,361306,482803,448127,48240,60233,60940
3405565,3574097,3599341,16.9,17.1,15.3,575540,611171,550699,50172,65998,70161
783600,897934,925240,14.9,18.4,17.2,116756,165220,159141,50365,55214,57522
15982378,18801311,19600311,13.2,14.6,12.7,2109674,2744991,2489239,38856,44066,46140
8186453,9687653,9994759,11.5,14.4,13,941442,1395022,1299318,41901,44117,49555
1211537,1360301,1408987,11.7,9.7,10.3,141750,131949,145125,51546,59539,71223
1293953,1567582,1612843,10.8,11.9,11.6,139747,186542,187090,37611,47050,53438
12419293,12830632,12890552,16.2,15.7,15.2,2011925,2014409,1959364,46064,50728,54916
6080485,6483800,6570713,12.5,15.1,14.3,760061,979054,939612,40865,46139,48060
2926324,3046350,3092341,12.7,15.6,14.7,371643,475231,454574,40991,49016,57810
2688418,2853118,2895801,11.8,13.7,12.8,317233,390877,370663,41059,46054,53444
4041769,4339362,4399583,14.6,18.2,13.3,590098,789764,585145,36265,41104,42786
4468976,4515770,4629284,12.4,13.8,13.2,554153,623176,611065,30718,39300,42406
1274923,1328361,1328702,14.1,15.2,15.1,179764,201911,200634,37266,47931,51710
5296486,5773552,5938737,13.3,17.1,16.5,704433,987277,979892,54535,64201,76165
6349097,6547629,6708874,16.3,17.1,16.6,1034903,1119645,1113673,46753,60934,63151
9938444,9883635,9898193,12.3,14.4,13.4,1222429,1423243,1326358,45512,46276,52005
4919479,5303925,5422060,12.6,12.7,12.3,619854,673598,666913,54251,52321,67244
2844658,2967297,2992206,13.2,14.9,14.5,375495,442127,433870,34299,38160,35521
5595211,5988927,6044917,12,14.4,13,671425,862405,785839,45097,45817,56630
902195,989415,1014864,10.5,13.4,12.5,94730,132582,126858,32777,41280,51102
1711263,1826341,1868969,13.2,14.4,16.9,225887,262993,315856,41750,52504,56870
1998257,2700551,2791494,11.8,15,12,235794,405083,334979,45758,51200,49875
1235786,1316472,1322616,14.2,15,15.1,175482,197471,199715,50926,66633,73397
8414350,8791894,8911502,18.6,18.9,15.3,1565069,1661668,1363460,50405,62968,65243
1819046,2059180,2086895,8.2,15.7,12.5,149162,323291,260862,35093,45134,46686
18976457,19378104,19695680,16.5,16.1,14.3,3131115,3119875,2816482,40744,49781,54310
8049313,9535475,9848917,11.6,13.9,15,933720,1325431,1477338,38317,43830,46784
642200,672591,723857,10.8,14.5,14.4,69358,97526,104235,35996,51006,60730
11353140,11536502,11572005,11.6,12.6,13.1,1316964,1453599,1515933,42962,45886,49644
3450654,3751354,3853118,11.1,15.4,13.8,383023,577709,531730,32432,43103,47199
3421399,3831074,3928068,14.7,15.8,15,502946,605310,589210,42499,50602,58875
12281054,12702379,12781296,12.1,12.8,12.9,1486008,1625905,1648787,42176,48314,55173
1048319,1052567,1053354,17.3,16.4,16.3,181359,172621,171697,42197,51623,58633
4012012,4625364,4771929,12.3,13.3,12,493477,615173,572631,37570,41698,44929
754844,814180,845510,12,17.3,17.1,90581,140853,144582,36475,45352,53053
5689283,6346110,6497269,11.8,16,14.9,671335,1015378,968093,34096,38591,43716
20851820,25145561,26505637,12.5,16.9,14.9,2606478,4249600,3949340,38609,47266,53875
2233169,2763885,2902787,10.3,12.5,8.2,230016,345486,238029,47550,56701,63383
608827,625741,626855,12.5,13.8,14.1,76103,86352,88387,39594,55928,60708
7078515,8001024,8270345,14,21.5,20,990992,1720220,1654069,47163,60367,66155
5894121,6724540,6973742,13.4,14.9,13.6,789812,1001956,948429,42525,56163,59068
1808344,1852996,1853595,11.9,14.4,16.4,215193,266831,303990,29411,42777,39552
5363675,5686986,5742953,11.6,15.2,14.7,622186,864422,844214,45088,50351,58080
493782,563626,583223,8.1,11.8,9.9,39996,66508,57739,39629,52201,55690
